,Number,Title,Description,Link
0,"Season 115, Episode 1",Jumping to Johannesburg,"New parents Bill and Sarah are leaving Philadelphia to move to Johannesburg for a job opportunity. They have travelled and lived abroad before but have never been to sub Saharan Africa, so they must navigate a new place while navigating parenthood. Sarah wants plenty of space for herself and the baby since Bill will be traveling for work, but Bill is more concerned that the new family will only have one income so he wants to stick to the budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/jumping-to-johannesburg
1,"Season 115, Episode 2",From Minnesota to East Africa,"A Minnesota couple is excited to find new adventures after following a job opportunity to Nairobi, Kenya. After some serious thought and a scout trip, they decide this move will be great for the entire family. An international move won't be easy with two young kids, however, and every one is expecting something different from this experience.",https://www.hgtv.com/shows/house-hunters-international/episodes/from-minnesota-to-east-africa
2,"Season 115, Episode 3",Next Stop: Kaiserslautern,"After brief stays in Asia, Africa and Europe, this globetrotting military family is ready for some stability in a German forever home. They're looking forward to living closer to family and getting away from the dreary winters of Helsinki. Though he wanted to relocate to Southeast Asia, he's hoping to at least get some of the items on his wish list in this German dream home.",https://www.hgtv.com/shows/house-hunters-international/episodes/next-stop-kaiserslautern
3,"Season 115, Episode 4",Peace in Porsgrunn,"After five years of traveling the globe, this yoga instructor is ready to settle down in Porsgrunn, Norway with her boyfriend. While she wants a home near the sea with enough space for her yoga classes, he has his heart set on living near the mountains. Will they find the nature retreat they both dream of for their first home together?",https://www.hgtv.com/shows/house-hunters-international/episodes/peace-in-porsgrunn
4,"Season 115, Episode 5",Brave New Warsaw,"A Pennsylvania native jumps at the opportunity to live abroad with her boyfriend after he is presented with a job opportunity in Warsaw, Poland. But while she insists on having all the comforts of home, he is content living with the bare minimum. In the end, they must decide on splurging on a home or saving up for international exploration.",https://www.hgtv.com/shows/house-hunters-international/episodes/brave-new-warsaw
5,"Season 115, Episode 6",Setting Roots in Rome,"After first meeting in Nairobi five years ago, a long-distance couple is ready to settle down in Rome. She has lived in Kenya her entire life and a home with outdoor green space is at the top of her list, but he wants to be in the city center for all its convenience. Their property consultant shows them three unique properties knowing it will require compromising on their differing wish lists to make a final decision.",https://www.hgtv.com/shows/house-hunters-international/episodes/setting-roots-in-rome
6,"Season 115, Episode 7",Oceanside in Manta,"After a family sailing adventure in the Caribbean, a couple and their four children are heading back to Manta, Ecuador, to seize the opportunity for a future home in Ecuador's affordable real estate market. They both agree on a beachfront property with a pool, but he wants privacy out of town while her comfort level lies in town where she and the kids can interact with the locals. With Manta growing exponentially, they do have several high-end options around their price range, but the idea of the perfect home will be up for debate.",https://www.hgtv.com/shows/house-hunters-international/episodes/oceanside-in-manta
7,"Season 115, Episode 8",Lands End Paradise,"A couple wants to buy their forever home before being priced out of a rising real estate market in Cabo San Lucas, Mexico. Location is key as they want to be able to walk to all Cabo has to offer, but she prefers the convenience of a condo while he desires the privacy of a standalone house.",https://www.hgtv.com/shows/house-hunters-international/episodes/lands-end-paradise
8,"Season 115, Episode 9",Danish Roots Reunion,"A Texas couple wants to introduce their son to his heritage by buying a house in Faaborg, Denmark. They both want a home with old Danish charm, but she prefers move-in ready in the city center while he dreams of a fixer-upper outside of town.",https://www.hgtv.com/shows/house-hunters-international/episodes/danish-roots-reunion
9,"Season 115, Episode 10",Puerto Penasco Three-Run Homer,"Former two-time Major League All-Star Shea Hillenbrand is moving his foundation that teaches kids vital team-building skills to his favorite vacation spot of Puerto Penasco, Mexico. A vacation home on the beach will give him and his wife a home base and allow them to spend time with their kids while giving back to the local community. His major-league success makes him want to go big, however, and he's willing to break the budget for the right place. She, on the other hand, has a finance background so she's keenly aware of just how much money they can afford on a second home. It's a struggle that'll keep each of them swinging for the tie-breaking run.",https://www.hgtv.com/shows/house-hunters-international/episodes/puerto-penasco-three-run-homer
10,"Season 115, Episode 11",A New Couple's Leap of Faith,"The competitive spirit runs deep in these international rally car drivers who recently fell in love. After following a job opportunity to Northampton, England, the lovebirds are on the market for their first home together. They have a lot to learn about each other and it all comes out during their house hunt. She's on a visa that doesn't allow her to work but their single income doesn't stop her from ignoring dollar signs to get what she wants. Bending each other's opinions toward their own may just be their competitive style, but can newfound love change their natures?",https://www.hgtv.com/shows/house-hunters-international/episodes/a-new-couples-leap-of-faith
11,"Season 115, Episode 12",Magical Iceland,"As a lawyer and single mom to 5-year-old twins, Anna has a busy life in New York City. She fell in love with Iceland after just one trip, and she wants to share it with her kids by buying a home in Reykjavik where they can walk the city and enjoy easy access to the majestic outdoor surroundings. Even though she has a comfortable budget, it may only go so far downtown, so if she can be flexible on location, most of the other items on Anna's wish list might be within reach.",https://www.hgtv.com/shows/house-hunters-international/episodes/magical-iceland
12,"Season 115, Episode 13",Undecided in Utrecht,"Clint and Emily, who met in Greece and traveled Europe together for two years, are moving to Utrecht, Netherlands, for a job transfer. She hopes to recapture the excitement of their European escapades by settling into the hustle and bustle of downtown Utrecht, but he's willing to ditch the city center for a spacious suburban home to accommodate visits from his three children. Most of their time, however, will be spent without Clint's children, and Emily believes they should prioritize their own lifestyle and what they're looking for in a house.",https://www.hgtv.com/shows/house-hunters-international/episodes/undecided-in-utrecht
13,"Season 116, Episode 1",Bringing Up Baby and Business,"After years of solo travels, a couple is undertaking a grand adventure together by moving to a place they've never been: Warsaw, Poland. For him, it's the perfect place to begin a real estate investment business so he wants to save money to dedicate to his startup. But now that they're expecting their first child, she doesn't want to spare any expense for comfort.",https://www.hgtv.com/shows/house-hunters-international/episodes/bringing-up-baby-and-business
14,"Season 116, Episode 2",A Space to Study in Manchester,"After putting in her days in a small college space as a PhD candidate at the University of Manchester, a woman decides to move closer to campus. She wants to be in the center of the action, but a large apartment with a separate study space, room to entertain and outdoor space comes at a premium. Her mother is helping out financially, but she may still need to compromise if she wants to stay on budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-space-to-study-in-manchester
15,"Season 116, Episode 3",By Land or By Sea in Cork,"A new job triggers a move from Florida to Cork, Ireland, for Franklin, Danielle and their two large dogs. But it won't be easy to find a pet-friendly apartment that meets their wants and needs in Cork's thriving market.",https://www.hgtv.com/shows/house-hunters-international/episodes/by-land-or-by-sea-in-cork
16,"Season 116, Episode 4",Negotiating in Norwich,"Robbie and Lindsay decide to move their two small children from Portland, Oregon, to Norwich, England, to expand his computer consulting business. Lindsay isn't sold on raising the kids in the city, but Robbie doesn't want a long commute to his office every day, so they'll have to negotiate schools, commute and budget in their quest to find the perfect English home.",https://www.hgtv.com/shows/house-hunters-international/episodes/negotiating-in-norwich
17,"Season 116, Episode 5","Taking a Sabbatical in Valencia, Spain","After selling the family business, Montana residents Amy and Josh decide to take a sabbatical with their daughter to Valencia, Spain. Amy wants to soak up the culture and enjoy family time while living in the historical section of the city, but Josh wants to live in a sleek and modern flat with room for his collection of bicycles.",https://www.hgtv.com/shows/house-hunters-international/episodes/taking-a-sabbatical-in-valencia-spain
18,"Season 116, Episode 6",Closing the Distance in Denmark,"A couple that's been dating long distance are tired of traveling to see each other, so she's moving to Aarhus, Denmark, to be with him. She wants to find a Zen-like home outside the city and start an in-home yoga studio, but he wants to be in the heart of the action downtown.",https://www.hgtv.com/shows/house-hunters-international/episodes/closing-the-distance-in-denmark
19,"Season 116, Episode 7",Continuing a Family Legacy in Greece¿,"A couple with deep ties to Greece wants to buy a home in Paralio Astros to be closer to relatives, the beach and to connect their sons to their heritage. He wants to find an apartment with two bedrooms for large family visits, but she insists on a home where she can have a bathroom of her own.",https://www.hgtv.com/shows/house-hunters-international/episodes/continuing-a-family-legacy-in-greece
20,"Season 116, Episode 8","Settling Down in Sesimbra, Portugal","A successful Oregon couple leaves everything behind to enjoy their lives together in Sesimbra, Portugal. To combat having no income, he wants to find a budget-friendly house in the private countryside, but she's afraid of being too isolated and homesick. A roomy house in town is expensive, however, but will they be willing to open their wallet to find a priceless home?",https://www.hgtv.com/shows/house-hunters-international/episodes/settling-down-in-sesimbra-portugal
21,"Season 116, Episode 9","Family First in Valencia, Spain","A couple with three sons is tired of the Toronto rat race and decides to move the family to Valencia, Spain, where there's a better work-life balance, warm beaches and lots of European history. She's willing to sacrifice living space to be in the city center, but he's more forward thinking and sees them needing more room as the kids get older.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-first-in-valencia-spain
22,"Season 116, Episode 10","Grand Investment in Granada, Nicaragua","A woman who caught the travel bug during a semester abroad in Spain heads to Granada, Nicaragua, with her friend to look for her dream investment property.",https://www.hgtv.com/shows/house-hunters-international/episodes/grand-investment-in-granada-nicaragua
23,"Season 116, Episode 11","Fresh Start in Uvita, Costa Rica","A Nashville couple that separated due to overwhelming lifestyles felt more connected during a recent family vacation to Costa Rica. Now they're moving to the village of Uvita to cement their family bond, but they'll have to go through some obstacles that could put their marriage at risk.",https://www.hgtv.com/shows/house-hunters-international/episodes/fresh-start-in-uvita-costa-rica
24,"Season 116, Episode 12",A Castle in the Netherlands,"After moving all around the United States for various military assignments, a man is moving his family abroad for the first time to a country his wife has never even heard of -- the Netherlands. She's hoping to find a five-bedroom house with a walk-in closet in downtown Eindhoven so she can relax in a big house after a long day of shopping. He's unsure of what financial surprises might come with a move overseas and he's also aware of his wife's spending habits so he wants a simple family home well within budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-castle-in-the-netherlands
