,Number,Title,Description,Link
0,"Specials, Episode 1",Revisiting Big Renovations in the South of France,House Hunters International is revisiting the vivid landscapes of southern France to reveal three big renovation projects. Circus performers Karine and Jade Kindar-Martin escaped back to ...,www.hgtv.com/shows/house-hunters-international/episodes/revisiting-big-renovations-in-the-south-of-france
1,"Specials, Episode 2","Revisiting Remote Renovations in Australia, New Zealand and Panama",House Hunters International checks back in with three inspiring couples who were looking to either retreat into or escape from some of our most remote locations. The Archibald's from ...,www.hgtv.com/shows/house-hunters-international/episodes/revisiting-remote-renovations-in-australia-new-zealand-and-panama
2,"Specials, Episode 3",Revisiting Historic Renovations in Italy and France,House Hunters International wondered what happened to three of our most memorable couples and the historic properties they purchased.  Scottish artist Clare Galloway single handedly saved a ...,www.hgtv.com/shows/house-hunters-international/episodes/revisiting-historic-renovations-in-italy-and-france
3,"Specials, Episode 4","Revisiting Euro Renovations in Berlin, Copenhagen and Slovenia",House Hunters International travels across Europe to revisit three inspiring couples who took on massive renovation projects. Abigail Smith left Geneva for Germany but her Berlin ...,www.hgtv.com/shows/house-hunters-international/episodes/revisiting-euro-renovations-in-berlin-copenhagen-and-slovenia
4,"Specials, Episode 5","Revisiting Latin Renovations in Belize, Panama and Mexico","House Hunters International retraces the steps of three, savvy Latin American buyers. Mathieu and Vanessa were biologists starting a research lab in the jungles of Belize. However, they ...",www.hgtv.com/shows/house-hunters-international/episodes/revisiting-latin-renovations-in-belize-panama-and-mexico
5,"Season 1, Episode 1",Costa Rica Vacation Home,"Mark and Carolle Cotter love living in Northridge, California and find it to be the perfect place to raise their six-year old son.  However, life is all work and not a lot of play, so after ...",www.hgtv.com/shows/house-hunters-international/episodes/costa-rica-vacation-home
6,"Season 1, Episode 2",Dominican Vacation Home,"Throughout their fifteen years of marriage, Steve and Susan Miller have traveled the world, with trips to sites such as Sicily, Panama, Tahiti and Australia.  At present, the Millers reside ...",www.hgtv.com/shows/house-hunters-international/episodes/dominican-vacation-home
7,"Season 1, Episode 3",Vacation Home in Spain,"Lesley and Clive have been together for more than thirty years.  Both lovers of music, dogs and travel, they've decided it's time to look for a second home in an exotic location.  Tired of ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-spain
8,"Season 1, Episode 4",Vacation Home in Italy,"Peter and Beverly Moule live in Goff's Oak, just outside of London, in a guest house while their Georgian style three-story main house is under construction.  Looking to get away from the ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-italy
9,"Season 1, Episode 5",Vacation Home in Paris,"New Yorkers Jeff Ballinger and Mary Schiller recently began the first steps toward making their dream together a reality.  After honeymooning in Paris, they knew they wanted their own ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-paris
10,"Season 1, Episode 1",Planting New Costa Rican Roots,"After attending college in the United States, 27-year-old Tyson Ennis returned home to Costa Rica and moved back in with his parents, who own a place in the city of Escazu (southwest of ...",www.hgtv.com/shows/house-hunters-international/episodes/planting-new-costa-rican-roots
11,"Season 1, Episode 2",Belize Bound,"Real estate agent Michelle Owens adores her life in Charleston, S.C., but after vacationing in Belize six years ago, she fell in love with the exquisite natural beauty of the Central ...",www.hgtv.com/shows/house-hunters-international/episodes/belize-bound
12,"Season 1, Episode 3",Honduras Home Hunt,"Gary Howorka and his girlfriend, Rebecca Anderson, love the laidback lakefront home they live in on Minnesota's Lake Minnetonka. But with cold temperatures half the year and crowded ...",www.hgtv.com/shows/house-hunters-international/episodes/honduras-home-hunt
13,"Season 1, Episode 4",Sao Paulo Search,"After living with his sister for five years, Sao Paulo resident Vinnie Porto de Oliveira is ready to buy a place of his own. Sao Paulo is the largest city in Brazil, with a population of 17 ...",www.hgtv.com/shows/house-hunters-international/episodes/sao-paulo-search
