,index,Number,Title,Description,Link
0,0,"Season 1, Episode 1",Revisiting Big Renovations in the South of France,"House Hunters International is revisiting the vivid landscapes of southern France to reveal three big renovation projects. Circus performers Karine and Jade Kindar-Martin escaped back to their roots in the region of Gard to open a unique artist retreat, complete with yurts and teepees.  After a false start in their native Hungary, Eva and Alfonz Hamori agreed to open a bed and breakfast in the sunny tourism driven community of Capestang, but disagreed on the right space to put it.  After a home swap, former Arizona residents Dave and Stasha Ashton decided to stay in Mougins for good and found the road to renovating their ancient farmhouse was quite explosive.",https://www.hgtv.com/shows/house-hunters-international/episodes/revisiting-big-renovations-in-the-south-of-france
1,1,"Season 1, Episode 2","Revisiting Remote Renovations in Australia, New Zealand and Panama","House Hunters International checks back in with three inspiring couples who were looking to either retreat into or escape from some of our most remote locations. The Archibald's from Australia went off the grid and bought a half-finished property on Great Barrier Island near the coast of New Zealand, where their handyman skills were stretched to the limit. After living in remote South Africa, Shaun and Carol went back on the grid and fixed up a traditional Queenslander on the Sunshine Coast of Australia. Ryan and Lauren are young, free spirits who abandoned their cars in the LA rush hour traffic to build a serene, oceanfront bed and breakfast off the beaten path in Bocas Del Toro, Panama.",https://www.hgtv.com/shows/house-hunters-international/episodes/revisiting-remote-renovations-in-australia-new-zealand-and-panama
2,2,"Season 1, Episode 3",Revisiting Historic Renovations in Italy and France,"House Hunters International wondered what happened to three of our most memorable couples and the historic properties they purchased.  Scottish artist Clare Galloway single handedly saved a rattled, medieval townhome in the abandoned village of Guardia Sanframondi, Italy. Susan Gardner fell in love with a whimsical, traditional trullo home in Puglia, Italy but ran into red tape while trying to renovate. Catherine and Franck Vigneron, a Cognac making family from California, found a vintage of house they liked in the birthplace of Cognac but it needed a lot of work to raise its spirits.",https://www.hgtv.com/shows/house-hunters-international/episodes/revisiting-historic-renovations-in-italy-and-france
3,3,"Season 1, Episode 4","Revisiting Euro Renovations in Berlin, Copenhagen and Slovenia","House Hunters International travels across Europe to revisit three inspiring couples who took on massive renovation projects. Abigail Smith left Geneva for Germany but her Berlin Bachelorette pad needed an upgrade. Jack Fussell is a globetrotting shutterbug ready to settle down and he'll need his wife Tina's strong design sense to turn their quirky space into a home.  Englishmen Steffan and Ben traveled to the lush, rolling hills of Most na Soci, Slovenia to build a rustic bed and breakfast.",https://www.hgtv.com/shows/house-hunters-international/episodes/revisiting-euro-renovations-in-berlin-copenhagen-and-slovenia
4,4,"Season 1, Episode 5","Revisiting Latin Renovations in Belize, Panama and Mexico","House Hunters International retraces the steps of three, savvy Latin American buyers. Mathieu and Vanessa were biologists starting a research lab in the jungles of Belize. However, they needed to build extra housing for at least 30 students. In Panama City best friends from New York, Eric and Vlad, excavated a dilapidated building overlooking a historical plaza. Erich and Rob started from scratch with a surprise new renovation after their real estate deal bottomed out the first time around in Merida, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/revisiting-latin-renovations-in-belize-panama-and-mexico
5,5,"Season 1, Episode 1",Costa Rica Vacation Home,"Mark and Carolle Cotter love living in Northridge, California and find it to be the perfect place to raise their six-year old son.  However, life is all work and not a lot of play, so after visiting Costa Rica's Lake Arenal, the Cotters decided to look for a restful vacation home there with beautiful and relaxing views of the lake.",https://www.hgtv.com/shows/house-hunters-international/episodes/costa-rica-vacation-home
6,6,"Season 1, Episode 2",Dominican Vacation Home,"Throughout their fifteen years of marriage, Steve and Susan Miller have traveled the world, with trips to sites such as Sicily, Panama, Tahiti and Australia.  At present, the Millers reside along the Ohio River in Louisville, Kentucky, but are looking for another waterfront property as a second home - in the Dominican Republic.",https://www.hgtv.com/shows/house-hunters-international/episodes/dominican-vacation-home
7,7,"Season 1, Episode 3",Vacation Home in Spain,"Lesley and Clive have been together for more than thirty years.  Both lovers of music, dogs and travel, they've decided it's time to look for a second home in an exotic location.  Tired of London's rainy and wet weather, the Allingtons are anxious for open space and warm weather in beautiful Granada, Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-spain
8,8,"Season 1, Episode 4",Vacation Home in Italy,"Peter and Beverly Moule live in Goff's Oak, just outside of London, in a guest house while their Georgian style three-story main house is under construction.  Looking to get away from the work and stress of construction, they are searching for a vacation home in Liguria, Italy where their family can enjoy some sunshine and relaxation.",https://www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-italy
9,9,"Season 1, Episode 5",Vacation Home in Paris,"New Yorkers Jeff Ballinger and Mary Schiller recently began the first steps toward making their dream together a reality.  After honeymooning in Paris, they knew they wanted their own vacation property in France.  Now, they've moved out of their house and into a smaller condo in the Bronx, NY and have begun their search for a pied a terre in Paris.",https://www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-paris
10,10,"Season 1, Episode 1",Planting New Costa Rican Roots,"After attending college in the United States, 27-year-old Tyson Ennis returned home to Costa Rica and moved back in with his parents, who own a place in the city of Escazu (southwest of Costa Rica's capital, San Jose). Tyson is close to his family, but after living on his own, he now feels a little closed in. So, although it's customary for children in Costa Rica to live with their families until they marry, he is breaking tradition and searching for a space to call his own. He's hoping to find a place with two bedrooms and a view that is close to his parents' home, but he knows that with a budget equivalent to $150,000, he'll probably be limited to buying a condominium. With his family's blessing--and their input--the search is on. Real estate Agent Edward Fridovich signs on to help.",https://www.hgtv.com/shows/house-hunters-international/episodes/planting-new-costa-rican-roots
11,11,"Season 1, Episode 2",Belize Bound,"Real estate agent Michelle Owens adores her life in Charleston, S.C., but after vacationing in Belize six years ago, she fell in love with the exquisite natural beauty of the Central American country--so much so, that she's decided to make it her new home. She wants a large house with plenty of guest bedrooms for visiting friends and a drop-dead view of the Caribbean Sea. She doesn't want the hassle of construction, so to increase her options, she widens her search to include not only the beach area, but also the scenic jungle regions, where wild monkeys are neighbors and breathtaking views are still the norm. Helping with her search is real estate agent Howard Oldham.",https://www.hgtv.com/shows/house-hunters-international/episodes/belize-bound
12,12,"Season 1, Episode 3",Honduras Home Hunt,"Gary Howorka and his girlfriend, Rebecca Anderson, love the laidback lakefront home they live in on Minnesota's Lake Minnetonka. But with cold temperatures half the year and crowded tourist-filled waterways the other half, they are ready to escape to a true water-lovers paradise--a secluded tropical island. After hearing about Roatan, Honduras, from a friend, the couple went for a visit and were hooked by the friendly locals and beautiful water spots. They are ready to pack up and move there permanently. Local real estate agent Jeff J. Thekan is ready to show these Minnesotans how to invest their money wisely in a piece of island paradise.",https://www.hgtv.com/shows/house-hunters-international/episodes/honduras-home-hunt
13,13,"Season 1, Episode 4",Sao Paulo Search,"After living with his sister for five years, Sao Paulo resident Vinnie Porto de Oliveira is ready to buy a place of his own. Sao Paulo is the largest city in Brazil, with a population of 17 million, so it's no wonder that the real estate market is highly competitive. The demand for condominiums alone is so high that units are routinely sold long before construction is complete. Vinnie is looking for a place in the fashionable Jardins district. Can Paola Alambert help him achieve this goal?",https://www.hgtv.com/shows/house-hunters-international/episodes/sao-paulo-search
14,14,"Season 1, Episode 5",Picking a Place in Prague,"Martin Michajluk and his fiancee, Eva Dakovova, live about 45 minutes from each other in the outlying districts of Prague, the capital of the Czech Republic. When they want to spend quality time together, Martin joins Eva at her parents' apartment. While visiting with Eva's folks is nice, the couple is ready to set up house and start their own lives together. They know that they can't afford to live in the culturally rich city center, so they will have to look at homes in the outlying districts--Prague's version of the suburbs. Helping them with their search is real estate agent Marketa Holla.",https://www.hgtv.com/shows/house-hunters-international/episodes/picking-a-place-in-prague
15,15,"Season 1, Episode 6","A Unique Renovation in Johannesburg, South Africa","Ryan and Leyla followed their film careers from LA to Capetown.  Now, with their four-year-old son, they're putting down roots in Johannesburg.  While Leyla's looking for a move-in-ready space they can settle into quickly, Ryan's hoping to create a home that's unlike any other.  Driven by his singular vision, the Haidarians' renovation takes on a life of its own.  Leyla's frustration mounts as endless inconveniences and ever-rising costs call Ryan's plan into question.  House Hunters International plunges into a mammoth undertaking in Johannesburg, South Africa.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-unique-renovation-in-johannesburg-south-africa
16,16,"Season 1, Episode 7",Dream Home in the Bahamas,"Donna and Patrick Rollins' four-bedroom Nassau, Bahamas, home just is not big enough for the couple and their three growing kids. Though they have tried to renovate the house to make it a better fit, the couple has decided to find a new place with great views and high ceilings that will accommodate Patrick's tall frame. With the help of real estate agent Sara Parker, the Rollins family is ready to find their dream home.",https://www.hgtv.com/shows/house-hunters-international/episodes/dream-home-in-the-bahamas
17,17,"Season 1, Episode 8",Beachside Dream Home,"Pat and Tom DeGasperis have spent 16 happy years of marriage in historic Bethlehem, Penn., where they built a successful jewelry business together. The only thing missing in their lives is an ocean view, so they have decided to look for a home in the Mexican coastal town of La Paz. They know they will need help with the unique Mexican real estate market (and the language barrier), so they've asked real estate agent Sidne Byars Herrero to give them a hand in finding the beachside home of their dreams.",https://www.hgtv.com/shows/house-hunters-international/episodes/beachside-dream-home
18,18,"Season 1, Episode 9",Dominican Dream,"Seeley Oliver is a hard-working businesswoman who needs an escape from the hustle and bustle of New York City. She wants a slice of paradise, so she is moving to the Caribbean. See if she can find her dream home in a secret tropical getaway, where the housing market is so hot that homes are sold before they are built. Helping her with her search is real estate agent Rico Pester.",https://www.hgtv.com/shows/house-hunters-international/episodes/dominican-dream
19,19,"Season 1, Episode 10",Condo in Buenos Aires,"Attorney Fred Royce bought his home called Henderson Castle in Kalamazoo, Mich., more than 20 years ago. He has recently turned into a bed-and-breakfast. As much as he loves his home, he has discovered another passion a world away--the beautiful Buenos Aires, the capital of Argentina. He wants to make the city his new home base and has set his sights on one of the ritziest areas. Helping him with his search is real estate agent Michael Koh.",https://www.hgtv.com/shows/house-hunters-international/episodes/buenos-aires-condo
20,20,"Season 1, Episode 11",Settling in Scotland,"Newlyweds Sally and Scot McLellan love the location of their one-bedroom flat in Glasgow, Scotland, but after two years of renting, they are ready to buy a place of their own. Though they adore being minutes away from their gym, shopping and friends, the McLellans have outgrown their cramped space and have decided to find a place with more room in one of the surrounding towns. Real estate agent Tony Walsh signs on to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/settling-in-scotland
21,21,"Season 1, Episode 12",Edinburgh Expansion,"Claire and Russell Higgins live in two-bedroom house in the charming city of Edinburgh, Scotland, with their 5-year old daughter, Beth. With another baby on the way, the couple is ready to move into a bigger place with more storage space and a better location. Claire's boss, real estate agent Donna Paterson-Harvie, hopes to help them find a new home in the competitive Edinburgh real estate market before the baby arrives.",https://www.hgtv.com/shows/house-hunters-international/episodes/edinburgh-expansion
22,22,"Season 1, Episode 13",Roatan Relocation,"Water lovers Debbie and Steven Cervantes were nearly finished remodeling their five-bedroom house in Huntington Beach, Calif., when they took a brief vacation to a Caribbean island off the coast of Honduras called Roatan. Charmed by the simpler lifestyle Roatan has to offer, they have decided to move there with their sons Deven and Cole. They have asked Roatan real estate agent Mary M. Monterroso for help in finding a house that has a lot of land, beach and water access, plus a pool, all for about $500,000.",https://www.hgtv.com/shows/house-hunters-international/episodes/roatan-relocation
23,23,"Season 2a, Episode 04",Looking for a Traditional Style Villa on Italy's Amalfi Coast,"Young and energetic, Ronda and William Perks love Italy, and they dream of owning a special getaway on its famed Amalfi Coast.  In search of a traditional villa. William's biggest desire is a spectacular ocean view, while Ronda is looking for a fixer with Italian character that she can restore to its original beauty. With a budget of one million Euro (approximately $1,400,000), real estate agent, Domenco Gagliano, is working hard to help them find the right place.",https://www.hgtv.com/shows/house-hunters-international/episodes/looking-for-a-traditional-style-villa-on-italys-amalfi-coast
24,24,"Season 0, Episode 21",Hotel Owners Search for a New Home on Harbour Island in the Bahamas,"We asked and you voted! Now see which of your favorite international destinations made our top five. Tonight, the number five location in all of the world is revealed!See a photo gallery featuring this winning location in the House Hunters International countdown series: Harbour Island, Bahamas",https://www.hgtv.com/shows/house-hunters-international/episodes/number-five
25,25,"Season 0, Episode 22",Number Four,"We asked and you voted! Now see which of your favorite international destinations made our top five. Tonight, the number four location in all of the world is revealed!See a photo gallery featuring this winning location in the House Hunters International countdown series: Bali, Indonesia",https://www.hgtv.com/shows/house-hunters-international/episodes/number-four
26,26,"Season 0, Episode 23",Number Three,"We asked and you voted! Now see which of your favorite international destinations made our top five. Tonight, the number three location in all of the world is revealed!",https://www.hgtv.com/shows/house-hunters-international/episodes/number-three
27,27,"Season 0, Episode 24",Looking for a Traditional Style Villa on Italy's Amalfi Coast,"We asked and you voted! Now see which of your favorite international destinations made our top five. Tonight, the number two location in all of the world is revealed!See a photo gallery featuring this winning location in the House Hunters International countdown series: Amalfi Coast, Italy",https://www.hgtv.com/shows/house-hunters-international/episodes/number-two
28,28,"Season 0, Episode 25",A Search for a Multi-Million Dollar Vacation Property in St. John,"Harith Wickrema and his wife Grace currently reside in a stunning five-bedroom, French-style mansion outside of Philadelphia.  Harith is keen on finding the a vacation property in St. John that will make a smart investment.  This means they're looking for a home with more than 5000 square feet, the potential to expand and beach access.  Prepared to spend up to four million dollars, Harith has hired island real estate expert John McCann to lead him and his wife on this new adventure in their lives.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-search-for-a-multi-million-dollar-vacation-property-in-st-john
