,Number,Title,Description,Link,Season,Episode
0,"Season 1, Episode 1",Costa Rica Vacation Home,"Mark and Carolle Cotter love living in Northridge, California and find it to be the perfect place to raise their six-year old son.  However, life is all work and not a lot of play, so after ...",www.hgtv.com/shows/house-hunters-international/episodes/costa-rica-vacation-home,1,1
1,"Season 1, Episode 2",Dominican Vacation Home,"Throughout their fifteen years of marriage, Steve and Susan Miller have traveled the world, with trips to sites such as Sicily, Panama, Tahiti and Australia.  At present, the Millers reside ...",www.hgtv.com/shows/house-hunters-international/episodes/dominican-vacation-home,1,2
2,"Season 1, Episode 3",Vacation Home in Spain,"Lesley and Clive have been together for more than thirty years.  Both lovers of music, dogs and travel, they've decided it's time to look for a second home in an exotic location.  Tired of ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-spain,1,3
3,"Season 1, Episode 4",Vacation Home in Italy,"Peter and Beverly Moule live in Goff's Oak, just outside of London, in a guest house while their Georgian style three-story main house is under construction.  Looking to get away from the ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-italy,1,4
4,"Season 1, Episode 5",Vacation Home in Paris,"New Yorkers Jeff Ballinger and Mary Schiller recently began the first steps toward making their dream together a reality.  After honeymooning in Paris, they knew they wanted their own ...",www.hgtv.com/shows/house-hunters-international/episodes/vacation-home-in-paris,1,5
5,"Season 1, Episode 1",Planting New Costa Rican Roots,"After attending college in the United States, 27-year-old Tyson Ennis returned home to Costa Rica and moved back in with his parents, who own a place in the city of Escazu (southwest of ...",www.hgtv.com/shows/house-hunters-international/episodes/planting-new-costa-rican-roots,1,1
6,"Season 1, Episode 2",Belize Bound,"Real estate agent Michelle Owens adores her life in Charleston, S.C., but after vacationing in Belize six years ago, she fell in love with the exquisite natural beauty of the Central ...",www.hgtv.com/shows/house-hunters-international/episodes/belize-bound,1,2
7,"Season 1, Episode 3",Honduras Home Hunt,"Gary Howorka and his girlfriend, Rebecca Anderson, love the laidback lakefront home they live in on Minnesota's Lake Minnetonka. But with cold temperatures half the year and crowded ...",www.hgtv.com/shows/house-hunters-international/episodes/honduras-home-hunt,1,3
8,"Season 1, Episode 4",Sao Paulo Search,"After living with his sister for five years, Sao Paulo resident Vinnie Porto de Oliveira is ready to buy a place of his own. Sao Paulo is the largest city in Brazil, with a population of 17 ...",www.hgtv.com/shows/house-hunters-international/episodes/sao-paulo-search,1,4
9,"Season 1, Episode 5",Picking a Place in Prague,"Martin Michajluk and his fiancee, Eva Dakovova, live about 45 minutes from each other in the outlying districts of Prague, the capital of the Czech Republic. When they want to spend quality ...",www.hgtv.com/shows/house-hunters-international/episodes/picking-a-place-in-prague,1,5
